baselineId	sequenceNo	groupId	sourceBook	bookTitle	unitNo	unitTitle	section	articleType	title	printedPageStart	printedPageEnd	pdfPageStart	pdfPageEnd	ocrPageStart	ocrPageEnd	ocrPageCount	ocrMinConfidence	ocrMeanConfidence	ocrLowConfidenceWords	ocrRotationFlags	ocrLayoutFlags	risk	riskReasons	status	disposition	startedAt	reviewer	reviewedAt	correctionCount	evidence	textSha256	eventSha256	notes
rw1-u01-a	1	rw1	NHCE4-RW1	读写教程 1	1	Fresh start	A	text-a	Toward a brighter future for all	4	6	19	21	19	21	3	0.068315	0.975930	131	0	9	high	words-below-0.90:131;possible-multicolumn-pages:9;cross-page-span:9	passed	retained-reviewed	2026-07-29T18:35:19Z	Codex	2026-07-29T18:36:12Z	10	Full second read: NHCE4-RW1.pdf pages 19-21; images NHCE4-RW1_19.jpg..21.jpg; reviewed-articles/rw1-u01-a.json	7b3dd9528f560aaca50144739318a5e919de6825c7c268bbf15c8059a2c826fa	a425d1f8d711b1e8b7f144f0a6a6e3b46829497a813a91117067d5a8c5399ac9	Full text re-read from start to Welcome; title, 8 paragraphs, punctuation, two-column order, and p4-p6 boundary confirmed.
rw1-u01-b	2	rw1	NHCE4-RW1	读写教程 1	1	Fresh start	B	text-b	What we wish	18	19	33	34	33	34	2	0.068260	0.976326	117	0	7	high	words-below-0.90:117;possible-multicolumn-pages:7;cross-page-span:7	passed	retained-reviewed	2026-07-30T01:22:15Z	Codex	2026-07-30T01:22:55Z	8	content/College-English/reviewed-articles/rw1-u01-b.json; NHCE4-RW1 PDF pages 33-34; images 33-34	1376ffc5fae1805e3781ca26910ea9fe7289d24b0e2da7c453777576b2f9a09c	80294ab83e6b13e624c8dbd074c2fb7d2a9130c88718b606f65c860c5e29bc60	全文视觉阅读及修订后复读完成，标题、正文顺序、列表、结尾与来源页一致。
rw1-u01-c	3	rw1	NHCE4-RW1	读写教程 1	1	Fresh start	C	stories-of-china	The post-00s looking forward to a colorful life	25	26	40	41	40	41	2	0.070311	0.978693	10	0	2	high	words-below-0.90:10;possible-multicolumn-pages:2;cross-page-span:2	passed	retained-reviewed	2026-07-30T01:25:33Z	Codex	2026-07-30T01:26:00Z	8	content/College-English/reviewed-articles/rw1-u01-c.json; NHCE4-RW1 PDF pages 40-41; images 40-41	51006a2676c472b3b88bd10ce730b07cfdac6ab745e29e501996e1412130c2b3	e012a1285b972b66a3e78454c36c0e9bc5daea7d4f187d28c9cf6b3db2794368	全文视觉阅读及修订后复读完成；七段正文、跨页连接、中文释义和文章终点均与来源一致。
rw1-u02-a	4	rw1	NHCE4-RW1	读写教程 1	2	Loving parents, loving children	A	text-a	A child’s clutter awaits an adult’s return	30	32	45	47	45	47	3	0.068442	0.976789	119	0	9	high	words-below-0.90:119;possible-multicolumn-pages:9;cross-page-span:9	passed	retained-reviewed	2026-07-30T01:27:36Z	Codex	2026-07-30T01:28:16Z	10	content/College-English/reviewed-articles/rw1-u02-a.json; NHCE4-RW1 PDF pages 45-47; images 45-47	a994901098086a6da76c7c8fa3fd3190c916237f563348df8385991e6bc9b5e3	dfe8c5f934f36321139871954ed89b678b474568f7851a66e3749c6a71cf3ab4	全文视觉阅读及修订后复读完成；标题、22段正文、开头结尾和来源页一致。
rw1-u02-b	5	rw1	NHCE4-RW1	读写教程 1	2	Loving parents, loving children	B	text-b	Time slows down	43	45	58	60	58	60	3	0.068885	0.977112	114	0	6	high	words-below-0.90:114;possible-multicolumn-pages:6;cross-page-span:8	passed	retained-reviewed	2026-07-30T01:29:34Z	Codex	2026-07-30T01:30:47Z	10	content/College-English/reviewed-articles/rw1-u02-b.json; NHCE4-RW1 PDF pages 58-60; images 58-60	746b032ab8eb8831afcf616f29162c7aa43ab0fbdb2128d24738fb8683153333	a56bfe58f7f37050abb2b913f295c45d8399afd7e8dd7e2cb6e9efa743e44a43	全文视觉阅读及修订后复读完成；标题、34段正文、跨页衔接和结尾均与来源一致。
rw1-u02-c	6	rw1	NHCE4-RW1	读写教程 1	2	Loving parents, loving children	C	stories-of-china	Bonds of love	51	52	66	67	66	67	2	0.070625	0.983373	8	0	2	medium	words-below-0.90:8;possible-multicolumn-pages:2;cross-page-span:2	passed	retained-reviewed	2026-07-30T01:31:37Z	Codex	2026-07-30T01:32:06Z	8	content/College-English/reviewed-articles/rw1-u02-c.json; NHCE4-RW1 PDF pages 66-67; images 66-67	795d37b724c1cf8dea0466bfc78cae5e905b61b76cffab1e26a468a426ef9d8a	a2e5a2fb116f4e85b47e8444417f72e034be8511959906507f0b47ff401ae116	全文视觉阅读及修订后复读完成；七段正文、中文释义、文章终点均与来源一致。
rw1-u03-a	7	rw1	NHCE4-RW1	读写教程 1	3	Heroes of our time	A	text-a	To feed the world	56	58	71	73	71	73	3	0.068288	0.976914	125	0	9	high	words-below-0.90:125;possible-multicolumn-pages:9;cross-page-span:9	passed	retained-reviewed	2026-07-30T01:34:16Z	Codex	2026-07-30T01:34:56Z	10	content/College-English/reviewed-articles/rw1-u03-a.json; NHCE4-RW1 PDF pages 71-73; images 71-73	b935bddc2ebb2a169abe7cac25544be5249187caca3eb81afa507d1026a24799	0251a401ad1ab3c9e7a1576de38c585e2897a9c8fef82c59c3fd337c44f9bb3b	全文视觉阅读及修订后复读完成；标题、九段正文、统计数字、跨页衔接和结尾均与来源一致。
rw1-u03-b	8	rw1	NHCE4-RW1	读写教程 1	3	Heroes of our time	B	text-b	Heroes among us	69	70	84	85	84	85	2	0.068272	0.975546	131	0	6	high	words-below-0.90:131;possible-multicolumn-pages:6;cross-page-span:8	passed	retained-reviewed	2026-07-30T01:36:33Z	Codex	2026-07-30T01:37:11Z	8	Full second read: NHCE4-RW1.pdf pages 84-85; images NHCE4-RW1_84.jpg..85.jpg; reviewed-articles/rw1-u03-b.json	c22c69a5d8c9536e5541c6235e10bf2557470d862e8d8c948ca32be6c9a1eddc	0405674262abe6964190ffdfc037c1c97293a4e9464a1677c28277f1a6244a2f	全文视觉阅读及修订后复读完成；标题、11段正文、引文、跨栏顺序、结尾与来源一致。
rw1-u03-c	9	rw1	NHCE4-RW1	读写教程 1	3	Heroes of our time	C	stories-of-china	Cering Dandar, a grassroots hero	77	78	92	93	92	93	2	0.068422	0.981011	10	0	2	high	words-below-0.90:10;possible-multicolumn-pages:2;cross-page-span:2	passed	retained-reviewed	2026-07-30T01:38:13Z	Codex	2026-07-30T01:38:42Z	8	Full second read: NHCE4-RW1.pdf pages 92-93; images NHCE4-RW1_92.jpg..93.jpg; reviewed-articles/rw1-u03-c.json	19f41eac258ab5529d3e58cdeb2cd39aa96efc756ec8c87f3ce8d2ac825c2d81	df04a771e71c27fdb4a475015360caebdaea2a90f0883c00fc7d7833dcfb6f96	全文视觉阅读及修订后复读完成；标题、6段正文、中文注释、跨栏跨页顺序和结尾与来源一致。
rw1-u04-a	10	rw1	NHCE4-RW1	读写教程 1	4	Social media matters	A	text-a	Social media: How much is too much	82	84	97	99	97	99	3	0.068310	0.976916	132	0	9	high	words-below-0.90:132;possible-multicolumn-pages:9;cross-page-span:9	passed	retained-reviewed	2026-07-30T01:39:21Z	Codex	2026-07-30T01:39:58Z	9	Full second read: NHCE4-RW1.pdf pages 97-99; images NHCE4-RW1_97.jpg..99.jpg; reviewed-articles/rw1-u04-a.json	385d284dc0e01e888810b6d22a91ec4b80454d830c46fb5d70aada7636eddc81	07066559d42cae4ecfbc01c69cf092f09fcc8aed3c921253d659140237128829	全文视觉阅读及修订后复读完成；标题、9段正文、跨栏跨页顺序、引文、数据和结尾与来源一致。
