baselineId	groupId	unitNo	sequenceNo	section	title	pageStart	pageEnd	extractionMode	pdfMd5	risk	status	disposition	reviewer	reviewedAt	correctionCount	evidence	notes
pepj7a-001	pepj7a	5	1	Section B	Do You Have a Soccer Ball?	52	52	text	7d7bed5769efd4d786f353da10c755e9	normal	passed	retained-corrected	Codex visual review	2026-07-22	7	content/pep-english/reviewed-corrections.json#pepj7a-001	逐行对照PDF第52页；恢复双栏阅读顺序、三个人物全文、Section与标题，重生成后整篇复读通过。
pepj7a-002	pepj7a	6	2	Section B	Sports Star Eats Well!	58	58	text	7d7bed5769efd4d786f353da10c755e9	normal	passed	retained-corrected	Codex visual review	2026-07-22	6	content/pep-english/reviewed-corrections.json#pepj7a-002	逐行对照PDF第58页；恢复导语和十轮问答的双栏顺序，修正标题、断词、标点并删除练习框架，重生成后整篇复读通过。
pepj7a-003	pepj7a	7	3	Section B	Mr. Cool's Clothes Store	64	64	text	7d7bed5769efd4d786f353da10c755e9	normal	passed	retained-corrected	Codex visual review	2026-07-22	5	content/pep-english/reviewed-corrections.json#pepj7a-003	逐行对照PDF第64页；保留完整商店广告，恢复全部价格、断词、标题与Section B，重生成后整篇复读通过。
pepj7a-004	pepj7a	9	4	Section B	Dear Jenny	76	76	text	7d7bed5769efd4d786f353da10c755e9	normal	passed	retained-corrected	Codex visual review	2026-07-22	6	content/pep-english/reviewed-corrections.json#pepj7a-004	逐行对照PDF第76页；恢复称呼、两段正文和落款，修正标题、Section与断词并删除练习框架，重生成后整封信复读通过。
pepj7a-005	pepj7a	9	5	Section B	in English	115	115	text	7d7bed5769efd4d786f353da10c755e9	normal	passed	removed-nonarticle	Codex visual review	2026-07-22	1	content/pep-english/reviewed-corrections.json#pepj7a-005	逐页核对PDF第115页；内容为Grammar附录的句子类型表和孤立例句，不属于完整语篇，已从最终manifest删除。
pepj7a-006	pepj7a	9	6	Section B	w h e r e 's。	116	116	text	7d7bed5769efd4d786f353da10c755e9	normal	passed	removed-nonarticle	Codex visual review	2026-07-22	1	content/pep-english/reviewed-corrections.json#pepj7a-006	逐页核对PDF第116页；内容为Grammar附录的疑问句讲解和孤立例句，不属于完整语篇，已从最终manifest删除。
pepj7b-001	pepj7b	2	1	Section B	Write about something you always	19	19	ocr	9336b53d5a44f9244f62f6fb10720914	high	passed	removed-nonarticle	Codex visual review	2026-07-22	1	content/pep-english/reviewed-corrections.json#pepj7b-001	逐页核对PDF第19页；内容为Grammar Focus及3a-3c练习，不属于完整语篇，已从最终manifest删除。
pepj7b-002	pepj7b	2	2	Section B	Tony and Mary's Habits	21	21	ocr	9336b53d5a44f9244f62f6fb10720914	high	passed	retained-corrected	Codex visual review	2026-07-22	5	content/pep-english/reviewed-corrections.json#pepj7b-002	逐行对照PDF第21页；保留正文框内Tony与Mary两段，删除2b题干和2c练习指令，修正标题与段落边界，应用后整篇复读通过。
pepj7b-003	pepj7b	3	3	Section A	Lisa and Jane's Commute	24	24	ocr	9336b53d5a44f9244f62f6fb10720914	high	passed	retained-corrected	Codex visual review	2026-07-22	4	content/pep-english/reviewed-corrections.json#pepj7b-003	逐行对照PDF第24页；保留2e完整八轮对话，排除2a-2d练习，修正标题、对话换行与标点，应用后整篇复读通过。
pepj7b-004	pepj7b	3	4	Section B	Crossing the River to School	27	27	ocr	9336b53d5a44f9244f62f6fb10720914	high	passed	retained-corrected	Codex visual review	2026-07-22	5	content/pep-english/reviewed-corrections.json#pepj7b-004	逐行对照PDF第27页；采用2b正确标题，保留新闻正文三段，排除2a、2c、2d练习并恢复段落与引号，应用后整篇复读通过。
